S.No,Crop,Dist_id,District,Year,Season,Season_yield,Total
50,groundnut,27,SIDDIPET,2016-2017,rabi,2068,2066
51,groundnut,5,JANGAON,2016-2017,rabi,1371,1516
52,groundnut,33,YADADRI,2016-2017,rabi,2068,1736
53,groundnut,15,MEDCHAL MALKAJG,2016-2017,rabi,0,0
54,groundnut,3,HYDERABAD,2016-2017,rabi,0,0
55,groundnut,25,RANGAREDDY,2016-2017,rabi,2068,2068
56,groundnut,29,VIKARABAD,2016-2017,rabi,1744,1745
57,groundnut,12,MAHABUBNAGAR,2016-2017,rabi,1847,1844
58,groundnut,7,JOGULAMBA,2016-2017,rabi,2391,2025
59,groundnut,30,WANAPARTHY,2016-2017,rabi,2391,2330
60,groundnut,18,NAGARKURNOOL,2016-2017,rabi,2280,2261
61,groundnut,19,NALGONDA,2016-2017,rabi,1307,1463
62,groundnut,28,SURYAPET,2016-2017,rabi,1322,1429
63,groundnut,10,KHAMMAM,2016-2017,rabi,1560,1590
64,maize,1,ADILABAD,2016-2017,kharif,3456,5712
65,maize,11,KOMARAM BHEEM,2016-2017,kharif,3456,4917
66,maize,13,MANCHERIAL,2016-2017,kharif,3456,5410
67,maize,21,NIRMAL,2016-2017,kharif,3456,6300
68,maize,22,NIZAMABAD,2016-2017,kharif,5265,5433
69,maize,4,JAGTIAL,2016-2017,kharif,4542,5251
70,maize,23,PEDDAPALLI,2016-2017,kharif,4542,6306
71,maize,6,JAYASHANKAR,2016-2017,kharif,4250,5103
72,maize,2,BHADRADRI,2016-2017,kharif,4173,6076
73,maize,16,MAHABUBABAD,2016-2017,kharif,4250,4966
74,maize,31,WARANGAL RURAL,2016-2017,kharif,4250,6999
75,maize,32,WARANGAL URBAN,2016-2017,kharif,4250,6052
76,maize,9,KARIMNAGAR,2016-2017,kharif,4542,6316
77,maize,24,RAJANNA,2016-2017,kharif,4542,4963
78,maize,8,KAMAREDDY,2016-2017,kharif,5265,4916
79,maize,26,SANGAREDDY,2016-2017,kharif,2518,2666
80,maize,14,MEDAK,2016-2017,kharif,2518,2940
81,maize,27,SIDDIPET,2016-2017,kharif,2518,2750
82,maize,5,JANGAON,2016-2017,kharif,4250,4766
83,maize,33,YADADRI,2016-2017,kharif,1888,1927
84,maize,15,MEDCHAL MALKAJG,2016-2017,kharif,3143,3293
85,maize,3,HYDERABAD,2016-2017,kharif,0,0
86,maize,25,RANGAREDDY,2016-2017,kharif,3143,3132
87,maize,29,VIKARABAD,2016-2017,kharif,3143,3231
88,maize,12,MAHABUBNAGAR,2016-2017,kharif,1091,1143
89,maize,7,JOGULAMBA,2016-2017,kharif,1091,1950
90,maize,30,WANAPARTHY,2016-2017,kharif,1091,1162
91,maize,18,NAGARKURNOOL,2016-2017,kharif,1091,1116
