S.No,Crop,Dist_id,District,Year,Season,Season_yield,Total
415,groundnut,31,WARANGAL RURAL,2018-2019,rabi,2884,3167
416,groundnut,32,WARANGAL URBAN,2018-2019,rabi,2489,2489
417,groundnut,9,KARIMNAGAR,2018-2019,rabi,2703,2700
418,groundnut,24,RAJANNA,2018-2019,rabi,2489,2489
419,groundnut,8,KAMAREDDY,2018-2019,rabi,2489,2489
420,groundnut,26,SANGAREDDY,2018-2019,rabi,2489,2491
421,groundnut,14,MEDAK,2018-2019,rabi,2489,2491
422,groundnut,27,SIDDIPET,2018-2019,rabi,2262,2268
423,groundnut,5,JANGAON,2018-2019,rabi,1446,1583
424,groundnut,33,YADADRI,2018-2019,rabi,2489,2500
425,groundnut,15,MEDCHAL MALKAJG,2018-2019,rabi,0,0
426,groundnut,3,HYDERABAD,2018-2019,rabi,0,0
427,groundnut,25,RANGAREDDY,2018-2019,rabi,2711,2711
428,groundnut,29,VIKARABAD,2018-2019,rabi,2457,2458
429,groundnut,12,MAHABUBNAGAR,2018-2019,rabi,2235,2235
430,groundnut,7,JOGULAMBA,2018-2019,rabi,2659,2480
431,groundnut,30,WANAPARTHY,2018-2019,rabi,3104,3073
432,groundnut,18,NAGARKURNOOL,2018-2019,rabi,2464,2455
433,groundnut,19,NALGONDA,2018-2019,rabi,1691,1748
434,groundnut,28,SURYAPET,2018-2019,rabi,1795,1791
435,groundnut,10,KHAMMAM,2018-2019,rabi,2227,2245
436,maize,1,ADILABAD,2018-2019,kharif,3105,4790
437,maize,11,KOMARAM BHEEM,2018-2019,kharif,4641,5053
438,maize,13,MANCHERIAL,2018-2019,kharif,3930,4954
439,maize,21,NIRMAL,2018-2019,kharif,6110,7544
440,maize,22,NIZAMABAD,2018-2019,kharif,5701,5716
441,maize,4,JAGTIAL,2018-2019,kharif,6353,5860
442,maize,23,PEDDAPALLI,2018-2019,kharif,6613,6612
443,maize,6,JAYASHANKAR,2018-2019,kharif,6800,7179
444,maize,2,BHADRADRI,2018-2019,kharif,2511,3983
445,maize,16,MAHABUBABAD,2018-2019,kharif,3432,4246
446,maize,31,WARANGAL RURAL,2018-2019,kharif,6422,7568
447,maize,32,WARANGAL URBAN,2018-2019,kharif,4296,5438
448,maize,9,KARIMNAGAR,2018-2019,kharif,5667,6208
449,maize,24,RAJANNA,2018-2019,kharif,5153,5608
450,maize,8,KAMAREDDY,2018-2019,kharif,6170,5909
451,maize,26,SANGAREDDY,2018-2019,kharif,3152,3130
452,maize,14,MEDAK,2018-2019,kharif,2667,2995
453,maize,27,SIDDIPET,2018-2019,kharif,2591,2776
454,maize,5,JANGAON,2018-2019,kharif,5712,5611
455,maize,33,YADADRI,2018-2019,kharif,2113,2178
456,maize,15,MEDCHAL MALKAJG,2018-2019,kharif,2477,2886
457,maize,3,HYDERABAD,2018-2019,kharif,0,0
458,maize,25,RANGAREDDY,2018-2019,kharif,713,762
459,maize,29,VIKARABAD,2018-2019,kharif,3247,3295
460,maize,12,MAHABUBNAGAR,2018-2019,kharif,1202,1206
461,maize,7,JOGULAMBA,2018-2019,kharif,2705,2785
462,maize,30,WANAPARTHY,2018-2019,kharif,2954,2958
463,maize,18,NAGARKURNOOL,2018-2019,kharif,641,667
464,maize,19,NALGONDA,2018-2019,kharif,3105,4900
465,maize,28,SURYAPET,2018-2019,kharif,3105,5824
466,maize,10,KHAMMAM,2018-2019,kharif,5362,5892
467,maize,1,ADILABAD,2018-2019,rabi,5577,4790
468,maize,11,KOMARAM BHEEM,2018-2019,rabi,6502,5053
469,maize,13,MANCHERIAL,2018-2019,rabi,6157,4954
470,maize,21,NIRMAL,2018-2019,rabi,8274,7544
471,maize,22,NIZAMABAD,2018-2019,rabi,5767,5716
472,maize,4,JAGTIAL,2018-2019,rabi,4538,5860
473,maize,23,PEDDAPALLI,2018-2019,rabi,6611,6612
474,maize,6,JAYASHANKAR,2018-2019,rabi,7293,7179
475,maize,2,BHADRADRI,2018-2019,rabi,6331,3983
476,maize,16,MAHABUBABAD,2018-2019,rabi,6806,4246
477,maize,31,WARANGAL RURAL,2018-2019,rabi,8787,7568
478,maize,32,WARANGAL URBAN,2018-2019,rabi,6156,5438
479,maize,9,KARIMNAGAR,2018-2019,rabi,6953,6208
480,maize,24,RAJANNA,2018-2019,rabi,6719,5608
481,maize,8,KAMAREDDY,2018-2019,rabi,4671,5909
482,maize,26,SANGAREDDY,2018-2019,rabi,2794,3130
483,maize,14,MEDAK,2018-2019,rabi,5145,2995
484,maize,27,SIDDIPET,2018-2019,rabi,4372,2776
485,maize,5,JANGAON,2018-2019,rabi,5203,5611
486,maize,33,YADADRI,2018-2019,rabi,6502,2178
487,maize,15,MEDCHAL MALKAJG,2018-2019,rabi,6502,2886
488,maize,3,HYDERABAD,2018-2019,rabi,0,0
489,maize,25,RANGAREDDY,2018-2019,rabi,3268,762
490,maize,29,VIKARABAD,2018-2019,rabi,6502,3295
491,maize,12,MAHABUBNAGAR,2018-2019,rabi,6502,1206
492,maize,7,JOGULAMBA,2018-2019,rabi,3543,2785
493,maize,30,WANAPARTHY,2018-2019,rabi,6502,2958
494,maize,18,NAGARKURNOOL,2018-2019,rabi,6502,667
495,maize,19,NALGONDA,2018-2019,rabi,6502,4900
496,maize,28,SURYAPET,2018-2019,rabi,6502,5824
497,maize,10,KHAMMAM,2018-2019,rabi,6019,5892
498,bengal gram,1,ADILABAD,2018-2019,kharif,0,1858
499,bengal gram,11,KOMARAM BHEEM,2018-2019,kharif,0,1766
500,bengal gram,13,MANCHERIAL,2018-2019,kharif,0,1569
501,bengal gram,21,NIRMAL,2018-2019,kharif,0,1842
502,bengal gram,22,NIZAMABAD,2018-2019,kharif,0,1824
503,bengal gram,4,JAGTIAL,2018-2019,kharif,0,1569
504,bengal gram,23,PEDDAPALLI,2018-2019,kharif,0,1569
505,bengal gram,6,JAYASHANKAR,2018-2019,kharif,0,1569
506,bengal gram,2,BHADRADRI,2018-2019,kharif,0,0
507,bengal gram,16,MAHABUBABAD,2018-2019,kharif,0,0
508,bengal gram,31,WARANGAL RURAL,2018-2019,kharif,0,1569
509,bengal gram,32,WARANGAL URBAN,2018-2019,kharif,0,1569
510,bengal gram,9,KARIMNAGAR,2018-2019,kharif,0,1569
511,bengal gram,24,RAJANNA,2018-2019,kharif,0,1569
512,bengal gram,8,KAMAREDDY,2018-2019,kharif,0,1617
513,bengal gram,26,SANGAREDDY,2018-2019,kharif,0,1268
514,bengal gram,14,MEDAK,2018-2019,kharif,0,1203
515,bengal gram,27,SIDDIPET,2018-2019,kharif,0,2257
516,bengal gram,5,JANGAON,2018-2019,kharif,0,1569
517,bengal gram,33,YADADRI,2018-2019,kharif,0,1569
518,bengal gram,15,MEDCHAL MALKAJG,2018-2019,kharif,0,1569
519,bengal gram,3,HYDERABAD,2018-2019,kharif,0,0
520,bengal gram,25,RANGAREDDY,2018-2019,kharif,0,1138
521,bengal gram,29,VIKARABAD,2018-2019,kharif,0,1611
522,bengal gram,12,MAHABUBNAGAR,2018-2019,kharif,0,1569
523,bengal gram,7,JOGULAMBA,2018-2019,kharif,0,411
524,bengal gram,30,WANAPARTHY,2018-2019,kharif,0,2140
525,bengal gram,18,NAGARKURNOOL,2018-2019,kharif,0,1569
526,bengal gram,19,NALGONDA,2018-2019,kharif,0,1569
527,bengal gram,28,SURYAPET,2018-2019,kharif,0,1569
528,bengal gram,10,KHAMMAM,2018-2019,kharif,0,1569
529,bengal gram,1,ADILABAD,2018-2019,rabi,1858,1858
530,bengal gram,11,KOMARAM BHEEM,2018-2019,rabi,1766,1766
531,bengal gram,13,MANCHERIAL,2018-2019,rabi,1569,1569
532,bengal gram,21,NIRMAL,2018-2019,rabi,1842,1842
533,bengal gram,22,NIZAMABAD,2018-2019,rabi,1824,1824
534,bengal gram,4,JAGTIAL,2018-2019,rabi,1569,1569
535,bengal gram,23,PEDDAPALLI,2018-2019,rabi,1569,1569
536,bengal gram,6,JAYASHANKAR,2018-2019,rabi,1569,1569
537,bengal gram,2,BHADRADRI,2018-2019,rabi,0,0
538,bengal gram,16,MAHABUBABAD,2018-2019,rabi,0,0
539,bengal gram,31,WARANGAL RURAL,2018-2019,rabi,1569,1569
540,bengal gram,32,WARANGAL URBAN,2018-2019,rabi,1569,1569
541,bengal gram,9,KARIMNAGAR,2018-2019,rabi,1569,1569
542,bengal gram,24,RAJANNA,2018-2019,rabi,1569,1569
543,bengal gram,8,KAMAREDDY,2018-2019,rabi,1617,1617
544,bengal gram,26,SANGAREDDY,2018-2019,rabi,1268,1268
545,bengal gram,14,MEDAK,2018-2019,rabi,1203,1203
546,bengal gram,27,SIDDIPET,2018-2019,rabi,2257,2257
547,bengal gram,5,JANGAON,2018-2019,rabi,1569,1569
548,bengal gram,33,YADADRI,2018-2019,rabi,1569,1569
549,bengal gram,15,MEDCHAL MALKAJG,2018-2019,rabi,1569,1569
550,bengal gram,3,HYDERABAD,2018-2019,rabi,0,0
551,bengal gram,25,RANGAREDDY,2018-2019,rabi,1138,1138
552,bengal gram,29,VIKARABAD,2018-2019,rabi,1611,1611
553,bengal gram,12,MAHABUBNAGAR,2018-2019,rabi,1569,1569
554,bengal gram,7,JOGULAMBA,2018-2019,rabi,411,411
555,bengal gram,30,WANAPARTHY,2018-2019,rabi,2140,2140
556,bengal gram,18,NAGARKURNOOL,2018-2019,rabi,1569,1569
557,bengal gram,19,NALGONDA,2018-2019,rabi,1569,1569
558,bengal gram,28,SURYAPET,2018-2019,rabi,1569,1569
559,bengal gram,10,KHAMMAM,2018-2019,rabi,1569,1569
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
